iter	Passed	Remaining
581	8965	6439
582	8980	6423
583	8995	6407
584	9009	6391
585	9024	6375
586	9037	6358
587	9052	6342
588	9068	6327
589	9083	6311
590	9099	6297
591	9114	6281
592	9129	6266
593	9144	6250
594	9158	6234
595	9174	6218
596	9187	6201
597	9203	6187
598	9218	6171
599	9234	6156
600	9252	6142
601	9267	6127
602	9283	6111
603	9299	6096
604	9313	6080
605	9330	6066
606	9347	6051
607	9361	6035
608	9376	6019
609	9391	6004
610	9408	5990
611	9423	5974
612	9439	5959
613	9453	5943
614	9471	5929
615	9487	5914
616	9503	5899
617	9519	5884
618	9533	5868
619	9551	5854
620	9566	5838
621	9583	5824
622	9600	5809
623	9616	5794
624	9628	5777
625	9643	5761
626	9659	5746
627	9674	5730
628	9692	5716
629	9708	5701
630	9723	5686
631	9739	5671
632	9755	5656
633	9772	5641
634	9788	5626
635	9803	5610
636	9817	5594
637	9834	5579
638	9849	5564
639	9864	5548
640	9879	5533
641	9893	5516
642	9910	5502
643	9926	5487
644	9938	5470
645	9951	5453
646	9966	5437
647	9978	5420
648	9992	5404
649	10008	5389
650	10022	5373
651	10036	5356
652	10051	5341
653	10067	5326
654	10082	5310
655	10098	5295
656	10113	5280
657	10126	5263
658	10142	5248
659	10158	5233
660	10173	5217
661	10191	5203
662	10205	5187
663	10219	5171
664	10237	5157
665	10254	5142
666	10271	5127
667	10285	5111
668	10300	5096
669	10317	5081
670	10331	5065
671	10348	5050
672	10364	5035
673	10379	5020
674	10394	5004
675	10410	4989
676	10425	4973
677	10443	4959
678	10458	4944
679	10475	4929
680	10491	4914
681	10507	4899
682	10524	4884
683	10539	4869
684	10554	4853
685	10569	4838
686	10587	4823
687	10603	4808
688	10618	4793
689	10633	4777
690	10651	4762
691	10666	4747
692	10681	4732
693	10700	4717
694	10717	4703
695	10734	4688
696	10750	4673
697	10768	4659
698	10783	4643
699	10797	4627
700	10812	4611
701	10829	4597
702	10844	4581
703	10859	4565
704	10874	4550
705	10887	4533
706	10903	4518
707	10919	4503
708	10934	4488
709	10951	4473
710	10966	4457
711	10984	4442
712	10999	4427
713	11014	4411
714	11028	4395
715	11043	4380
716	11056	4364
717	11070	4347
718	11085	4332
719	11101	4317
720	11117	4301
721	11131	4286
722	11146	4270
723	11158	4253
724	11174	4238
725	11189	4223
726	11204	4207
727	11218	4191
728	11233	4176
729	11247	4159
730	11264	4145
731	11280	4130
732	11295	4114
733	11313	4099
734	11328	4084
735	11343	4069
736	11358	4053
737	11374	4038
738	11389	4022
739	11405	4007
740	11420	3991
741	11435	3976
742	11452	3961
743	11469	3946
744	11484	3931
745	11499	3915
746	11514	3899
747	11531	3885
748	11547	3869
749	11562	3854
750	11581	3839
751	11597	3824
752	11613	3809
753	11629	3794
754	11645	3779
755	11661	3763
756	11677	3748
757	11694	3733
758	11710	3718
759	11725	3702
760	11741	3687
761	11757	3672
762	11774	3657
763	11789	3641
764	11805	3626
765	11820	3611
766	11839	3596
767	11857	3581
768	11871	3566
769	11888	3551
770	11903	3535
771	11918	3520
772	11935	3505
773	11947	3488
774	11962	3473
775	11979	3457
776	11993	3442
777	12009	3426
778	12026	3411
779	12037	3395
780	12052	3379
781	12067	3364
782	12081	3348
783	12095	3332
784	12109	3316
785	12125	3301
786	12139	3285
787	12155	3270
788	12168	3254
789	12183	3238
790	12197	3222
791	12211	3207
792	12228	3192
793	12245	3176
794	12258	3160
795	12273	3145
796	12289	3130
797	12304	3114
798	12322	3099
799	12336	3084
800	12352	3068
801	12367	3053
802	12382	3037
803	12398	3022
804	12414	3007
805	12430	2991
806	12443	2975
807	12459	2960
808	12474	2945
809	12490	2929
810	12506	2914
811	12522	2899
812	12537	2883
813	12554	2868
814	12569	2853
815	12584	2837
816	12600	2822
817	12615	2806
818	12629	2791
819	12644	2775
820	12659	2760
821	12676	2744
822	12692	2729
823	12708	2714
824	12724	2699
825	12741	2683
826	12756	2668
827	12772	2653
828	12788	2637
829	12804	2622
830	12819	2607
831	12832	2591
832	12848	2575
833	12864	2560
834	12879	2545
835	12892	2529
836	12908	2513
837	12923	2498
838	12940	2483
839	12953	2467
840	12968	2451
841	12981	2435
842	12994	2420
843	13010	2404
844	13024	2389
845	13039	2373
846	13051	2357
847	13065	2341
848	13080	2326
849	13093	2310
850	13110	2295
851	13125	2279
852	13141	2264
853	13155	2249
854	13170	2233
855	13186	2218
856	13200	2202
857	13215	2187
858	13229	2171
859	13243	2155
860	13258	2140
861	13274	2125
862	13289	2109
863	13305	2094
864	13320	2078
865	13338	2063
866	13356	2048
867	13372	2033
868	13388	2018
869	13404	2003
870	13418	1987
871	13432	1971
872	13449	1956
873	13465	1941
874	13481	1925
875	13498	1910
876	13512	1895
877	13528	1879
878	13542	1864
879	13560	1849
880	13576	1833
881	13590	1818
